CVE,project,CWE Type,Type,vul position,Codeql_reason,Semgrep_reason,Bandit_reason,Pysa_reason,Version,comment
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-37274,https://github.com/Significant-Gravitas/AutoGPT,"94;664,707",code injection,autogpt/commands/execute_code.py:execute_python_file,complex d/c-f  diff,implicit sink,complex d/c-f diff,complex d/c-f diff,0.4.1,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-31462,https://github.com/AUTOMATIC1111/stable-diffusion-webui,22;664,path traversal,modules/ui_extensions.py:save_config_state,detected,rule implementation,no rule,"inadquate capability, no sink",1.7.0,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-3568,https://github.com/huggingface/transformers,502;664,Deserialization,src/transformers/modeling_tf_utils.py:TFPreTrainedModel.load_repo_checkpoint,interface-source,detected,no rule,interface-source,-,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-7018,https://github.com/huggingface/transformers,502;664,Deserialization,src/transformers/models/deprecated/transfo_xl/tokenization_transfo_xl.py:TransfoXLTokenizer.__init__; src/transformers/models/deprecated/transfo_xl/tokenization_transfo_xl.py:TransfoXLCorpus.get_lm_corpus; src/transformers/models/rag/retrieval_rag.py:LegacyIndex._load_passages,interface-source,detected,detected,"inadquate capability, interface-source",prior to 4.36,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-6730,https://github.com/huggingface/transformers,502;664,Deserialization,src/transformers/models/deprecated/transfo_xl/tokenization_transfo_xl.py:TransfoXLTokenizer.__init__; src/transformers/models/deprecated/transfo_xl/tokenization_transfo_xl.py:TransfoXLCorpus.get_lm_corpus; src/transformers/models/rag/retrieval_rag.py:LegacyIndex._load_passages,interface-source,detected,detected,"inadquate capability, interface-source",prior to 4.36,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34363,https://github.com/nvbn/thefuck,22;664,path traversal,thefuck/rules/dirty_untar.py:side_effect; thefuck/rules/dirty_unzip.py:side_effect,complex d/c-f source,no sink,no rule,complex d/c-f,before 3.31,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-45907,https://github.com/pytorch/pytorch,"94;664,707",code injection,torch/jit/annotations.py:parse_type_line,interface-source,detected,no rule,"inadquate capability, interface-source",,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-22423,https://github.com/yt-dlp/yt-dlp,78;707,OS Command Injection,yt_dlp/postprocessor/exec.py:ExecPP.run,complex d/c-f source,no sink,detected,"complex d/c-f, inadquate capability",yt-dlp version 2024.04.09 fixes this issue,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40581,https://github.com/yt-dlp/yt-dlp,78;707,OS Command Injection,yt_dlp/postprocessor/exec.py:ExecPP.run,complex d/c-f source,detected,detected,"complex d/c-f, inadquate capability",yt-dlp version 2023.09.24 fixes this issue,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-39330,https://github.com/django/djangohttps://github.com/django/django,22;664,path traversal,django/core/files/storage/base.py:Storage.save,interface-source,implicit sink,no rule,interface-source,Django 5.0 before 5.0.7 and 4.2 before 4.2.14,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-34265,https://github.com/django/djangohttps://github.com/django/django,89;707,sql injection,django/db/backends/mysql/operations.py:date_extract_sql; django/db/backends/oracle/operations.py:date_extract_sql; django/db/backends/postgresql/operations.py:date_extract_sql; django/db/backends/sqlite3/operations.py:date_extract_sql,complex d/c-f source,partial detected,rule implementation,complex d/c-f,Django 3.2 before 3.2.14 and 4.0 before 4.0.6,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-28347,https://github.com/django/djangohttps://github.com/django/django,89;707,sql injection,django/db/backends/postgresql/operations.py:explain_query_prefix,complex d/c-f source,partial detected,complex d/c-f,complex d/c-f,"Django 2.2 before 2.2.28, 3.2 before 3.2.13, and 4.0 before 4.0.4",
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-45452,https://github.com/django/djangohttps://github.com/django/django,22;664,path traversal,django/core/files/storage.py:Storage.save,interface-source,implicit sink,no rule,interface-source,"Django 2.2 before 2.2.26, 3.2 before 3.2.11, and 4.0 before 4.0.1",
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33203,https://github.com/django/djangohttps://github.com/django/django,22;664,path traversal,django/contrib/admindocs/views.py:TemplateDetailView.get_context_data,detected,no sink,no rule,interface-source,"Django before 2.2.24, 3.x before 3.1.12, and 3.2.x before 3.2.4",
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-41656,https://github.com/getsentry/sentry,79;707,cross-site scripting,src/sentry/integrations/mixins/issues.py:IssueBasicMixin.map_external_issues_to_annotations; src/sentry/models/platformexternalissue.py:PlatformExternalIssue.get_annotations_for_group_list; src/sentry/plugins/bases/issue.py:IssueTrackingPlugin.tags; src/sentry/plugins/bases/issue2.py:IssueTrackingPlugin2.tags,complex d/c-f source,implicit sink,no rule,complex d/c-f,Starting in version 10.0.0 and prior to version 24.7.1,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-26947,https://github.com/odoo/odoo,79;707,cross-site scripting,addons/auth_signup/controllers/main.py:AuthSignupHome.web_auth_signup; addons/web/controllers/main.py:Home.web_login,complex d/c-f source,implicit sink,no rule,"complex d/c-f, inadquate capability",Odoo Community 15.0 and Odoo Enterprise 15.0,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-15635,https://github.com/odoo/odoo,79;707,cross-site scripting,addons/mail/wizard/invite.py:Invite.default_get,complex d/c-f source,implicit sink,no rule,"complex d/c-f, inadquate capability","Odoo Community 12.0 and earlier, and Odoo Enterprise 12.0 and earlier",
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-15634,https://github.com/odoo/odoo,79;707,cross-site scripting,addons/web/controllers/main.py:Binary.upload; addons/web/controllers/main.py:Binary.upload_attachment,complex d/c-f source,partial detected,no rule,"complex d/c-f, inadquate capability",Odoo Community 14.0 and earlier and Odoo Enterprise 14.0 and earlier,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-9416,https://github.com/odoo/odoo,22;664,path traversal,odoo/tools/misc.py:_fileopen,complex d/c-f source,rule implementation,no rule,complex d/c-f,"Odoo 8.0, 9.0, and 10.0",
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-10803,https://github.com/odoo/odoo,502;664,Deserialization,addons/anonymization/wizard/anonymize_wizard.py:IrModelFieldsAnonymizeWizard.anonymize_database,complex d/c-f source,detected,no rule,complex d/c-f,"Odoo 8.0, Odoo Community Edition 9.0 and 10.0, and Odoo Enterprise Edition 9.0 and 10.0",
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-39877,https://github.com/apache/airflow,"94;664,707",code injection,airflow/models/dag.py:DAG.get_doc_md,detected,intrinsic,no rule,no sink,"2.4.0, and versions before 2.9.3",
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-39863,https://github.com/apache/airflow,79;707,cross-site scripting,airflow/www/views.py:ProviderView._clean_description,complex d/c-f source,detected,no rule,complex d/c-f,versions before 2.9.3,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-50943,https://github.com/apache/airflow,502;664,Deserialization,airflow/models/xcom.py:BaseXCom._deserialize_value,complex d/c-f source,detected,no rule,complex d/c-f,versions before 2.8.1,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-4181,https://github.com/run-llama/llama_index,"94;664,707",code injection,llama-index-integrations/llms/llama-index-llms-rungpt/llama_index/llms/rungpt/base.py:RunGptLLM.stream_complete.gen; llama-index-integrations/llms/llama-index-llms-rungpt/llama_index/llms/rungpt/base.py:RunGptLLM.stream_chat.gen,complex d/c-f source,detected,no rule,no source,version 0.9.47,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-3271,https://github.com/run-llama/llama_index,94;707,code injection,llama-index-core/llama_index/core/exec_utils.py:safe_eval,complex d/c-f source,detected,no rule,complex d/c-f source,-,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-3098,https://github.com/run-llama/llama_index,"94;664,707",code injection,llama-index-core/llama_index/core/exec_utils.py:safe_eval,no-source,detected,no rule,no source,-,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-27494,https://github.com/streamlit/streamlit,79;707,cross-site scripting,lib/streamlit/components/v1/components.py:ComponentRequestHandler.get; lib/streamlit/server/routes.py:MediaFileHandler.validate_absolute_path,detected,no sink,no rule,no source,versions 0.63.0 through 0.80.0,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-35918,https://github.com/streamlit/streamlit,22;664,path traversal,lib/streamlit/components/v1/components.py:ComponentRequestHandler.get,no-source,rule implementation,no rule,no source,resolved in version 1.11.1,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-1561,https://github.com/gradio-app/gradio,22;664,path traversal,gradio/routes.py:App.component_server,complex d/c-f  diff,intrinsic,complex d/c-f diff,"complex d/c-f diff, inadquate capability",,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-21520,https://github.com/encode/django-rest-framework,79;707,cross-site scripting,rest_framework/templatetags/rest_framework.py:break_long_headers,complex d/c-f source,detected,detected,complex d/c-f source,before 3.15.2,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-30620,https://github.com/mindsdb/mindsdb,22;664,path traversal,mindsdb/api/http/namespaces/file.py:File.put,detected,rule implementation,detected,no source,"addressed in release 23.2.1.0 ",
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-23522,https://github.com/mindsdb/mindsdb,22;664,path traversal,mindsdb/interfaces/storage/fs.py:S3FSStore.get,no-source,no sink,no rule,no source,addressed in version 22.11.4.3,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-42819,https://github.com/jumpserver/jumpserver,22;664,path traversal,apps/ops/api/playbook.py:PlaybookViewSet.perform_destroy; apps/ops/api/playbook.py:PlaybookViewSet.perform_create; apps/ops/api/playbook.py:PlaybookFileBrowserAPIView.get; apps/ops/api/playbook.py:PlaybookFileBrowserAPIView.post; apps/ops/api/playbook.py:PlaybookFileBrowserAPIView.patch; apps/ops/api/playbook.py:PlaybookFileBrowserAPIView.delete,detected,no sink,no rule,no req,addressed in version 3.6.5,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-24065,https://github.com/cookiecutter/cookiecutter,78;707,OS Command Injection,cookiecutter/vcs.py:clone,complex d/c-f  diff,detected,rule implementation,complex d/c-f diff,before 2.1.1,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-7009,https://github.com/kovidgoyal/calibre,89;707,sql injection,src/calibre/db/backend.py:DB.search_annotations; src/calibre/db/fts/connect.py:FTS.search; src/calibre/db/notes/connect.py:Notes.search,complex d/c-f source,detected,detected,complex d/c-f source,Calibre <= 7.15.0,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-7008,https://github.com/kovidgoyal/calibre,79;707,cross-site scripting,src/calibre/srv/legacy.py:browse,complex d/c-f source,implicit sink,no rule,complex d/c-f source,Calibre <= 7.15.0,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-6781,https://github.com/kovidgoyal/calibre,22;664,path traversal,src/calibre/db/backend.py:DB.copy_extra_file_to,complex d/c-f source,no sink,no rule,complex d/c-f source,Calibre <= 7.14.0,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-41127,https://github.com/RasaHQ/rasa,22;664,path traversal,rasa/model.py:unpack_model; rasa/nlu/persistor.py:Persistor._decompress; rasa/utils/io.py:unarchive,detected,no sink,detected,interface-source,,一些存在历史漏洞的函数当作检测时所用的sink？如本漏洞中的tarfile，修复中被替换为了Tarsafe
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-37061,https://github.com/mlflow/mlflow,77;707,Command Injection,mlflow/projects/backend/local.py:_run_entry_point,complex d/c-f source,detected,detected,complex d/c-f source,version 1.11.0 or newer,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-37060,https://github.com/mlflow/mlflow,502;664,Deserialization,mlflow/pipelines/cards/__init__.py:BaseCard.load,interface-source,detected,no rule,interface-source,version 1.27.0 or newer,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-37059,https://github.com/mlflow/mlflow,502;664,Deserialization,mlflow/pytorch/__init__.py:_load_model,interface-source,no sink,detected,interface-source,version 0.5.0 or newer,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-37058,https://github.com/mlflow/mlflow,502;664,Deserialization,mlflow/langchain/utils.py:_load_from_pickle,interface-source,no sink,no rule,interface-source,version 2.5.0 or newer,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-3573,https://github.com/mlflow/mlflow,22;664,path traversal,mlflow/store/tracking/sqlalchemy_store.py:SqlAlchemyStore.__init__,complex d/c-f source,intrinsic,complex d/c-f,complex d/c-f source,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-27133,https://github.com/mlflow/mlflow,79;707,cross-site scripting,mlflow/recipes/recipe.py:BaseRecipe._get_artifact; mlflow/recipes/steps/ingest/__init__.py:BaseIngestStep._build_step_card,complex d/c-f source,implicit sink,no rule,complex d/c-f source,,
