CVE,CWE Type,Type,vul position,project,Bearer_reason,DevSkim_reason,Dlint_reason,Bandit_reason,Semgrep_reason,Codeql_reason,Pysa_reason,Project Type,Version
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-37274,"94;664,707",code injection,autogpt/commands/execute_code.py:execute_python_file,https://github.com/Significant-Gravitas/AutoGPT,hard to detect (RC3),hard_to_detect (RC3),hard to detect (RC3),complex d/c-f diff (RC3),implicit sink (RC3),complex d/c-f  diff (RC3),complex d/c-f diff (RC3),manage/monitor platform,0.4.1
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-31462,22;664,path traversal,modules/ui_extensions.py:save_config_state,https://github.com/AUTOMATIC1111/stable-diffusion-webui,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),rule implementation (RC1),detected,"inadquate capability (RC2), no sink (RC1)",webui,1.7.0
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-3568,502;664,Deserialization,src/transformers/modeling_tf_utils.py:TFPreTrainedModel.load_repo_checkpoint,https://github.com/huggingface/transformers,capability (RC3),detected,detected,no rule (RC1),detected,interface-source (RC1),interface-source (RC1),ai library,-
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-7018,502;664,Deserialization,src/transformers/models/deprecated/transfo_xl/tokenization_transfo_xl.py:TransfoXLTokenizer.__init__; src/transformers/models/deprecated/transfo_xl/tokenization_transfo_xl.py:TransfoXLCorpus.get_lm_corpus; src/transformers/models/rag/retrieval_rag.py:LegacyIndex._load_passages,https://github.com/huggingface/transformers,detected,detected,detected,detected,detected,interface-source (RC1),"inadquate capability (RC2), interface-source (RC1)",ai library,prior to 4.36
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-6730,502;664,Deserialization,src/transformers/models/deprecated/transfo_xl/tokenization_transfo_xl.py:TransfoXLTokenizer.__init__; src/transformers/models/deprecated/transfo_xl/tokenization_transfo_xl.py:TransfoXLCorpus.get_lm_corpus; src/transformers/models/rag/retrieval_rag.py:LegacyIndex._load_passages,https://github.com/huggingface/transformers,detected,detected,detected,detected,detected,interface-source (RC1),"inadquate capability (RC2), interface-source (RC1)",ai library,prior to 4.36
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-34363,22;664,path traversal,thefuck/rules/dirty_untar.py:side_effect; thefuck/rules/dirty_unzip.py:side_effect,https://github.com/nvbn/thefuck,no rule (RC1),no rule (RC1),no rule (RC1),no rule (RC1),no sink (RC1),complex d/c-f source (RC2),complex d/c-f (RC2),command line tool,before 3.31
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-45907,"94;664,707",code injection,torch/jit/annotations.py:parse_type_line,https://github.com/pytorch/pytorch,detected,implementation (RC1),detected,no rule (RC1),detected,interface-source (RC1),"inadquate capability (RC2), interface-source (RC1)",ai library,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-22423,78;707,OS Command Injection,yt_dlp/postprocessor/exec.py:ExecPP.run,https://github.com/yt-dlp/yt-dlp,hard to detect (RC3),hard_to_detect (RC3),hard to detect (RC3),detected,no sink (RC1),complex d/c-f source (RC2),"complex d/c-f (RC2), inadquate capability (RC2)",command line tool,yt-dlp version 2024.04.09 fixes this issue
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40581,78;707,OS Command Injection,yt_dlp/postprocessor/exec.py:ExecPP.run,https://github.com/yt-dlp/yt-dlp,detected,no rule (RC1),detected,detected,detected,complex d/c-f source (RC2),"complex d/c-f (RC2), inadquate capability (RC2)",command line tool,yt-dlp version 2023.09.24 fixes this issue
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-39330,22;664,path traversal,django/core/files/storage/base.py:Storage.save,https://github.com/django/djangohttps://github.com/django/django,no rule (RC1),no rule (RC1),no rule (RC1),no rule (RC1),implicit sink (RC3),interface-source (RC1),interface-source (RC1),web framework,Django 5.0 before 5.0.7 and 4.2 before 4.2.14
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-34265,89;707,sql injection,django/db/backends/mysql/operations.py:date_extract_sql; django/db/backends/oracle/operations.py:date_extract_sql; django/db/backends/postgresql/operations.py:date_extract_sql; django/db/backends/sqlite3/operations.py:date_extract_sql,https://github.com/django/djangohttps://github.com/django/django,hard to detect (RC3),hard_to_detect (RC3),hard to detect (RC3),rule implementation (RC1),partial detected (RC3),complex d/c-f source (RC2),complex d/c-f (RC2),web framework,Django 3.2 before 3.2.14 and 4.0 before 4.0.6
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-28347,89;707,sql injection,django/db/backends/postgresql/operations.py:explain_query_prefix,https://github.com/django/djangohttps://github.com/django/django,hard to detect (RC3),hard_to_detect (RC3),hard to detect (RC3),complex d/c-f (RC3),partial detected (RC3),complex d/c-f source (RC2),complex d/c-f (RC2),web framework,"Django 2.2 before 2.2.28, 3.2 before 3.2.13, and 4.0 before 4.0.4"
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-45452,22;664,path traversal,django/core/files/storage.py:Storage._save,https://github.com/django/djangohttps://github.com/django/django,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),implicit sink (RC3),interface-source (RC1),interface-source (RC1),web framework,"Django 2.2 before 2.2.26, 3.2 before 3.2.11, and 4.0 before 4.0.1"
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-33203,22;664,path traversal,django/contrib/admindocs/views.py:TemplateDetailView.get_context_data,https://github.com/django/djangohttps://github.com/django/django,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),no sink (RC1),detected,interface-source (RC1),web framework,"Django before 2.2.24, 3.x before 3.1.12, and 3.2.x before 3.2.4"
