Name,Source,Technique,Security Oriented,Being Maintained (Recent 2 Years)),Available,CLI Support,Integration of Tools,Run Properly
autoflake,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
autopep8,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Bandit,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),"CodePatternMatching, Heuristic",yes,yes,yes,,,
bellybutton,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Black,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Bowler,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
ciocheck,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
cohesion,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
deal,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Dlint,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),CodePatternMatching,yes,,,,,
Dodgy,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
ENRE-py,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
fixit,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
flake8,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
flakeheaven,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Griffe,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
InspectorTiger,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
jedi,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
linty fresh,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
mccabe,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
multilint,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
mypy,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
prospector,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
py-find-injection,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,no,yes,,,
pyanalyze,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
pycodestyle,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
pydocstyle,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
pyflakes,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
pylint,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
pylyzers,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
pyright,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
pyroma,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Pysa,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),Taint Analysis,yes,yes,yes,,,
PyT-Python Taint,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,no,,,,
pytype,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
pyupgrade,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
QuantifiedCode,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
radon,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
refurb,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
ruff,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
unimport,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
vulture,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
wemake-python-styleguide,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
wily,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
xenon,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
yapf,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
ale,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Application Inspector(PT Application Inspector),Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,demo,,,
ApplicationInspector,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
ast-grep,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Atom-Beautify,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Bearer,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),"CodePatternMatching, Heuristic",yes,yes,yes,,,
callGraph,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
coala,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Cobra,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Codeac,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
CodeFactor,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,,,yes,
